Ano;Masculino;LI_Masculino;LS_Masculino;Feminino;LI_Feminino;LS_Feminino;Total;LI_Total;LS_Total;0a8;LI_0a8;LS_0a8;9a11;LI_9a11;LS_9a11;12ouMais;LI_12ouMais;LS_12ouMais;18a34;LI_18a34;LS_18a34;35a59;LI_35a59;LS_35a59;60ouMais;LI_60ouMais;LS_60ouMais
2010;17.9;16.77;19.06;17.9;16.94;18.95;17.9;17.16;18.68;18.6;17.22;20.02;19.1;17.99;20.22;15.0;13.73;16.26;20.9;19.55;22.24;19.3;18.18;20.37;5.90;5.09;6.85
2011;15.1;14.1;16.06;14.6;13.81;15.47;14.8;14.19;15.47;15.3;14.23;16.5;15.5;14.6;16.47;13.0;11.76;14.28;17.5;16.37;18.66;15.4;14.52;16.33;5.92;5.12;6.84
2012;13.8;12.85;14.89;14.5;13.61;15.38;14.2;13.52;14.86;14.5;13.36;15.76;15.2;14.18;16.29;12.1;10.9;13.34;16.5;15.28;17.74;14.9;13.98;15.87;6.09;5.25;7.05
2013;12.2;11.24;13.19;11.9;11.22;12.71;12.1;11.47;12.67;12.0;10.92;13.13;13.0;12.11;13.96;10.8;9.75;11.91;13.1;12.07;14.17;13.8;12.9;14.75;4.79;4.09;5.61
2014;13.0;11.86;14.26;11.6;10.81;12.49;12.3;11.57;13;12.7;11.46;14.12;13.4;12.27;14.56;10.0;8.87;11.21;14.1;12.85;15.55;12.9;11.96;13.89;5.88;4.90;7.05
2015;12.4;11.29;13.54;11.6;10.76;12.41;11.9;11.27;12.64;12.3;10.9;13.76;13.0;12.08;14.03;10.0;8.99;11.12;12.9;11.71;14.22;13.6;12.62;14.63;5.40;4.56;6.37
2016;15.4;14.31;16.58;13.5;12.68;14.41;14.4;13.7;15.11;14.5;13.21;15.87;15.6;14.51;16.83;12.9;11.77;14.08;15.8;14.6;17.15;16.0;14.95;17.05;7.05;6.25;7.94
2017;14.2;13.1;15.38;12.8;11.94;13.71;13.5;12.75;14.17;14.6;13.3;16.09;14.5;13.4;15.72;11.0;9.94;12.22;14.7;13.43;16.14;15.1;14.14;16.2;6.41;5.68;7.22
2018;15.0;13.88;16.18;13.8;12.97;14.77;14.4;13.67;15.11;14.9;13.57;16.32;16.0;14.9;17.24;11.9;10.75;13.16;15.6;14.31;17.05;16.0;15.01;17.09;7.77;6.94;8.70
2019;14.5;13.41;15.72;13.8;12.96;14.74;14.2;13.44;14.88;14.3;12.91;15.73;15.7;14.58;16.86;12.2;11.08;13.51;15.2;13.86;16.65;16.3;15.3;17.37;6.83;6.11;7.63
