Ano;Masculino;EP_Masculino;LI_Masculino;LS_Masculino;Feminino;EP_Feminino;LI_Feminino;LS_Feminino;Total;0 a 8;9 a 11;12 ou mais;18 a 34;35 a 59;60 ou mais
2010;40.0;0.72;38.59;41.43;22.4;0.44;21.59;23.31;30.5;20.1;35.0;41.7;38.6;25.3;22.7
2011;40.4;0.65;39.13;41.68;24.1;0.45;23.21;24.97;31.6;21.2;35.3;42.5;39.3;26.6;24.2
2012;41.5;0.74;40.1;42.99;26.5;0.51;25.55;27.55;33.5;21.6;37.1;45.4;42.4;28.2;23.9
2013;41.2;0.68;39.89;42.55;27.4;0.48;26.47;28.35;33.8;22.0;37.1;45.4;43.3;28.3;23.8
2014;41.6;0.8;40.03;43.17;30.0;0.57;28.86;31.1;35.3;22.9;38.5;47.8;44.7;30.4;24.7
2015;45.6;0.77;44.11;47.12;30.8;0.54;29.74;31.86;37.6;25.4;40.1;49.6;47.5;33.1;25.2
2016;46.6;0.74;45.15;48.04;29.9;0.53;28.91;30.97;37.6;24.6;40.4;47.9;48.3;32.9;24.5
2017;43.4;0.75;41.95;44.88;31.5;0.55;30.42;32.59;37.0;23.3;39.7;47.0;46.0;33.2;25.8
2018;45.4;0.75;43.91;46.84;31.8;0.54;30.8;32.9;38.1;24.6;40.4;48.1;47.3;34.0;27.5
2019;46.7;0.79;45.19;48.29;32.4;0.55;31.31;33.48;39.0;25.8;39.5;50.0;48.8;35.4;26.6
